년(Annual),시도,시군구,면적,지번수
2023,전국,전국,100449356102,39631891
2023,서울,서울,605204030,907453
2023,서울,종로구,23913222,49139
2023,서울,중구,9959947,34540
2023,서울,용산구,21867577,44667
2023,서울,성동구,16820149,26783
2023,서울,광진구,17062820,32634
2023,서울,동대문구,14215912,40320
2023,서울,중랑구,18497134,38731
2023,서울,성북구,24577917,53325
2023,서울,강북구,23600408,40328
2023,서울,도봉구,20651010,22584
2023,서울,노원구,35439122,20789
2023,서울,은평구,29710154,47783
2023,서울,서대문구,17626320,40389
2023,서울,마포구,23853965,41196
2023,서울,양천구,17406039,21620
2023,서울,강서구,41451953,44271
2023,서울,구로구,20122908,36256
2023,서울,금천구,13020527,19903
2023,서울,영등포구,24551194,37080
2023,서울,동작구,16356862,38432
2023,서울,관악구,29568368,45370
2023,서울,서초구,46965958,35042
2023,서울,강남구,39497597,34493
2023,서울,송파구,33876575,31479
2023,서울,강동구,24590382,30299
2023,부산,부산,771309550,715536
2023,부산,중구,3012981,16588
2023,부산,서구,13972027,38941
2023,부산,동구,10121482,40879
2023,부산,영도구,14200497,37118
2023,부산,부산진구,29666182,63595
2023,부산,동래구,16630862,32750
2023,부산,남구,26824058,44958
2023,부산,북구,39374074,21854
2023,부산,해운대구,51522722,39837
2023,부산,사하구,41784928,42286
2023,부산,금정구,65278789,46423
2023,부산,강서구,182156135,106013
2023,부산,연제구,12105986,24985
2023,부산,수영구,10217447,20984
2023,부산,사상구,36104624,26180
2023,부산,기장군,218336749,112145
2023,대구,대구,1499473140,795378
2023,대구,중구,7055594,29004
2023,대구,동구,182112710,97589
2023,대구,서구,17323625,47855
2023,대구,남구,17429841,34439
2023,대구,북구,93946809,73126
2023,대구,수성구,76536006,62178
2023,대구,달서구,62371264,52560
2023,대구,달성군,428362341,203938
2023,대구,군위군,614334945,194689
2023,인천,인천,1067094771,669466
2023,인천,중구,140379852,60236
2023,인천,동구,7247382,17925
2023,인천,미추홀구,24838672,53852
2023,인천,연수구,56190620,14647
2023,인천,남동구,57453406,43659
2023,인천,부평구,32005409,42838
2023,인천,계양구,45565891,36943
2023,인천,서구,119056594,71703
2023,인천,강화군,411407321,255328
2023,인천,옹진군,172949620,72335
2023,광주,광주,500972251,390435
2023,광주,동구,49317265,36811
2023,광주,서구,47742712,50495
2023,광주,남구,60961418,61581
2023,광주,북구,120260694,88433
2023,광주,광산구,222690160,153115
2023,대전,대전,539779467,292310
2023,대전,동구,136693317,70343
2023,대전,중구,62192208,50612
2023,대전,서구,95542172,56559
2023,대전,유성구,176612475,71882
2023,대전,대덕구,68739294,42914
2023,울산,울산,1062827074,505837
2023,울산,중구,37004028,42438
2023,울산,남구,74019618,53730
2023,울산,동구,36074883,21194
2023,울산,북구,157351542,73609
2023,울산,울주군,758377002,314866
2023,세종,합계,464962316,205917
2023,세종특별자치시,세종특별자치시,464962316,205917
2023,경기,경기,10199727920,5158072
2023,경기,수원시(계),121099865,125490
2023,경기,성남시(계),141630277,92424
2023,경기,의정부시,81548718,54565
2023,경기,안양시(계),58500757,37551
2023,경기,부천시,53458065,61420
2023,경기,광명시,38521193,32281
2023,경기,평택시,458448418,377400
2023,경기,동두천시,95673631,42777
2023,경기,안산시(계),156466886,100648
2023,경기,고양시(계),268126896,177853
2023,경기,과천시,35871398,17319
2023,경기,남양주시,458129776,223895
2023,경기,오산시,42691582,39881
2023,경기,시흥시,139936378,94954
2023,경기,군포시,36418522,22151
2023,경기,의왕시,54031240,31452
2023,경기,하남시,92985346,58588
2023,경기,용인시(계),591254915,343386
2023,경기,파주시,673955430,320439
2023,경기,이천시,461464926,276082
2023,경기,안성시,553508056,286970
2023,경기,김포시,276596404,185096
2023,경기,화성시,700641502,504973
2023,경기,광주시,430988337,225346
2023,경기,양주시,310487150,158129
2023,경기,포천시,827165744,268673
2023,경기,여주시,608207921,265901
2023,경기,연천군,677938351,176984
2023,경기,가평군,842821965,193873
2023,경기,양평군,877819526,336469
2023,강원,강원,16830843606,2723246
2023,강원,춘천시,1116415789,252043
2023,강원,원주시,868285190,274580
2023,강원,강릉시,1040827452,236611
2023,강원,동해시,180307717,59363
2023,강원,태백시,303438427,34461
2023,강원,속초시,105753666,40046
2023,강원,삼척시,1187836727,151694
2023,강원,홍천군,1820572725,261720
2023,강원,횡성군,998002199,210444
2023,강원,영월군,1127407715,147303
2023,강원,평창군,1464257647,215338
2023,강원,정선군,1219781214,130209
2023,강원,철원군,890129726,177403
2023,강원,화천군,909094532,89403
2023,강원,양구군,661991726,95267
2023,강원,인제군,1646197571,119809
2023,강원,고성군,660766514,106650
2023,강원,양양군,629777061,120902
2023,충북,충북,7407008340,2388448
2023,충북,청주시(계),941054215,475658
2023,충북,충주시,983257122,326342
2023,충북,제천시,882770985,216642
2023,충북,보은군,584262399,166715
2023,충북,옥천군,537283275,182554
2023,충북,영동군,846906526,227459
2023,충북,증평군,81802888,43569
2023,충북,진천군,407384399,169077
2023,충북,괴산군,842010687,203531
2023,충북,음성군,520122607,238305
2023,충북,단양군,780153231,138596
2023,충남,충남,8247536002,3736105
2023,충남,천안시(계),636153367,308397
2023,충남,공주시,864163698,286850
2023,충남,보령시,586861155,245150
2023,충남,아산시,542798392,294740
2023,충남,서산시,742278696,334882
2023,충남,논산시,556254925,306744
2023,충남,계룡시,60694408,18729
2023,충남,당진시,705624199,354547
2023,충남,금산군,577213103,192120
2023,충남,부여군,624654249,272743
2023,충남,서천군,366124029,208385
2023,충남,청양군,479251282,170149
2023,충남,홍성군,446693929,249883
2023,충남,예산군,542721271,267938
2023,충남,태안군,516049292,224848
2023,전북,전북,8073339392,3864926
2023,전북,전주시(계),206010205,196000
2023,전북,군산시,398018926,261431
2023,전북,익산시,506591799,391471
2023,전북,정읍시,693295818,404758
2023,전북,남원시,752092736,329289
2023,전북,김제시,545983690,369749
2023,전북,완주군,821380177,282388
2023,전북,진안군,789137227,254704
2023,전북,무주군,632062889,157254
2023,전북,장수군,533184421,173626
2023,전북,임실군,597166636,246540
2023,전북,순창군,495930524,204327
2023,전북,고창군,607482126,336393
2023,전북,부안군,495002213,256996
2023,전남,전남,12362332332,5898386
2023,전남,목포시,51729833,70829
2023,전남,여수시,512334186,303752
2023,전남,순천시,911038479,385942
2023,전남,나주시,608493760,392071
2023,전남,광양시,464863826,199799
2023,전남,담양군,455073501,233671
2023,전남,곡성군,547292828,199549
2023,전남,구례군,442964539,150359
2023,전남,고흥군,807174091,409389
2023,전남,보성군,664594623,286876
2023,전남,화순군,787170147,265949
2023,전남,장흥군,622375628,247011
2023,전남,강진군,500897659,223139
2023,전남,해남군,1045132640,443947
2023,전남,영암군,612430494,296601
2023,전남,무안군,450939981,292819
2023,전남,함평군,392097680,238341
2023,전남,영광군,474545549,258186
2023,전남,장성군,518346998,258287
2023,전남,완도군,396868127,226782
2023,전남,진도군,440110817,189319
2023,전남,신안군,655856939,325768
2023,경북,경북,18424137370,5684831
2023,경북,포항시(계),1130721100,423097
2023,경북,경주시,1324948412,533185
2023,경북,김천시,1010054406,355842
2023,경북,안동시,1522271741,389839
2023,경북,영주시,670166753,229600
2023,경북,영천시,919226365,354812
2023,경북,상주시,1254706154,399617
2023,경북,문경시,912054165,198750
2023,경북,경산시,411878437,236808
2023,경북,의성군,1174594306,379352
2023,경북,청송군,846133991,155488
2023,경북,영양군,815865458,119345
2023,경북,영덕군,741281607,175161
2023,경북,청도군,695363048,261908
2023,경북,고령군,384244160,160172
2023,경북,성주군,616151986,231835
2023,경북,칠곡군,451047868,195487
2023,경북,예천군,661580578,248382
2023,경북,봉화군,1202700453,175567
2023,경북,울진군,990632982,183201
2023,경북,울릉군,73033525,19134
2023,경남,경남,10542534981,4816443
2023,경남,창원시(계),749227510,414149
2023,경남,진주시,712939422,365017
2023,경남,통영시,239914756,171478
2023,경남,사천시,398823815,228308
2023,경남,김해시,463545853,271483
2023,경남,밀양시,798694985,345334
2023,경남,거제시,403875203,223629
2023,경남,양산시,485703040,163758
2023,경남,의령군,482914207,210238
2023,경남,함안군,416612189,243409
2023,경남,창녕군,532666193,282801
2023,경남,고성군,518022857,272591
2023,경남,남해군,357780914,243307
2023,경남,하동군,675301157,288892
2023,경남,산청군,794712474,253172
2023,경남,함양군,724725420,243956
2023,경남,거창군,803956581,266331
2023,경남,합천군,983118399,328590
2023,제주,제주,1850273554,879102
2023,제주,제주시,978767267,523533
2023,제주,서귀포시,871506287,355569
